company,status,zip,reason,birth,death,jurisdiction,jurisdictionType,lat,lng
PHOENIX TRANSIT COMPANY,ACTIVE,10007,NA,07/11/1918,NA,NEW JERSEY,domestic,40.7113424,-74.0105774
STONES EXPRESS INCORPORATED,ACTIVE,10011,NA,12/29/1921,NA,MASSACHUSETTS,domestic,40.74692100000001,-74.006891
BLUERIDGE GOODIES INC.,ACTIVE,10020,NA,08/29/1922,NA,DELAWARE,domestic,40.7606626,-73.9803136
HARTMANN INC.,ACTIVE,10018,NA,11/29/1926,NA,NEW JERSEY,domestic,40.7507509,-73.9841627
THE THOMPSON AND NORRIS COMPANY,ACTIVE,11201,NA,08/13/1892,NA,NEW JERSEY,domestic,40.6967139,-73.9823414
WILLIAM MCSHANE COMPANY,ACTIVE,10036,NA,08/13/1892,NA,,domestic,40.7575586,-73.9856403
THE BULLETIN PUBLISHING COMPANY,ACTIVE,10005,NA,09/09/1892,NA,NEW JERSEY,domestic,40.7075852,-74.0084249
SIMPSONS,ACTIVE,10007,NA,09/10/1892,NA,KENTUCKY,domestic,40.714299,-74.0058154
ADIRONDACK WATER POWER & PAPER CO.,ACTIVE,10038,NA,10/10/1892,NA,NEW JERSEY,domestic,40.7104929,-74.0077594
THE METROPOLITAN HARDWARE COMPANY,ACTIVE,10007,NA,10/11/1892,NA,NEW JERSEY,domestic,40.7120926,-74.0100831
LOVELL CORYELL AND COMPANY,ACTIVE,10010,NA,10/20/1892,NA,NEW JERSEY,domestic,40.7390436,-73.9881924
UNITED STATES BOOK COMPANY,ACTIVE,10011,NA,10/20/1892,NA,NEW JERSEY,domestic,40.7367148,-73.9995077
TROW DIRCTORY PRINTING AND BOOK-BINDING COMPANY,ACTIVE,10027,NA,10/20/1892,NA,NEW JERSEY,domestic,40.8096869,-73.941559
HOLMES BOOTH AND HAYDENS,ACTIVE,10007,NA,10/20/1892,NA,CONNECTICUT,domestic,40.7133206,-74.0087901
MAYWOOD ART TILE CO.,ACTIVE,10013,NA,01/03/1893,NA,NEW JERSEY,domestic,40.7185309,-73.9974325
NEW YORK TERMINAL EXPRESS COMPANY,ACTIVE,10012,NA,10/26/1892,NA,NEW JERSEY,domestic,40.7282896,-73.99582029999999
THE UNION SUBWAY CONSTRUCTION COMPANY,ACTIVE,10007,NA,07/12/1892,NA,NEW JERSEY,domestic,40.7101278,-74.01059
THOMAS POTTER SONS AND COMPANY INCORPORATED,ACTIVE,10013,NA,10/27/1892,NA,PENNSYLVANIA,domestic,40.7168363,-74.0047499
STEWART CERAMIC COMPANY,ACTIVE,10011,NA,10/28/1892,NA,NEW JERSEY,domestic,40.745813,-74.0073924
